302,小夫綁架事件,動畫原創
303,哆啦A夢辭職了,動畫原創
304,坐昆蟲飛機吧,第27卷第6話
305,不入海就能在海底散步的方法,第19卷第3話
306,盛夏之際冬天來臨,第41卷第15話
307,因此，幽靈出現了,動畫原創
308,大雄心中的大雄,動畫原創
309,幸福的人魚公主,第19卷第5話
310,戀愛的哆啦A夢,第27卷第3話
311,矬狗酷哥,動畫原創
312,小機器人是苦力？,第7卷第2話
313,大雄世界上僅有的一匹？,第27卷第14話
314,哆啦A夢漫長的一天,動畫原創
315,大暴動！大雄的寶寶,第8卷第6話
316,野比家變成了巨大迷宮！？,第18卷第11話
317,彩虹維奧萊塔,第39卷第21話
318,對著窗戶說再見,第19卷第19話
319,用橡皮擦擦掉臉,第8卷第19話
320,玩具兵團,第4卷第3話
321,熱血！大雄的運動會,動畫原創
322,趕走外星人！,動畫原創
323,恐怖的胖虎晚餐秀,第41卷第14話
324,大雄偶爾也會思考,第34卷第14話
325,名犬！？忠犬八,P4卷第7話
326,大雄鎮上的黑洞,第44卷第21話
327,胖虎的優點在哪？,動畫原創
328,聖誕夜的大雄老公公,第21卷第15話
,賣火柴的哆啦美,動畫原創
329,追尋銅鑼燒的傳說！,動畫原創
,電影30周年！全部呈現特別篇,動畫原創
330,45年後…～未來的我來了～,P5卷第20話
331,漫長的新年,第23卷第15話
332,大恐慌！超級嬰兒,P5卷第18話
333,只要受到稱讚大雄也能成為藝術家,第8卷第21話
334,人生之路是往右還是往左,第42卷第18話
335,風之子頭箍,P4卷第6話
336,做過火了！願望實現機,第42卷第15話
337,豪華！小夫的貧窮生日,動畫原創
338,呲溜！老師停不下來了,動畫原創
339,大富豪大雄,第32卷第13話
340,大雄的人魚傳說,動畫原創
341,用扁平滾刷來搬家,第29卷第14話
342,大雄耳朵長出章魚的故事,第39卷第20話
343,鎮內突圍大作戰,第42卷第1話
大山版1,夢幻的城市 大雄樂園,第42卷第1話
2009年劇場版,新·大雄的宇宙開拓史,大長篇第2篇
344,大雄的遠足求生記,動畫原創
345,詛咒的笑草人,動畫原創
346,又細又長的朋友,第27卷第7話
347,以前的媽媽是大雄！？,動畫原創
348,給胖虎製造弱點,P3卷第17話
349,也給出木衫製造弱點,P3卷第17話
350,靜香與爺爺樹,動畫原創
351,顛倒筆,第4卷第4話
352,大雄所不知道的大雄,第13卷第20話
353,灰姑娘去哪了,動畫原創
354,托夢的爺爺,第14卷第20話
355,1000個胖虎！？,動畫原創
356,我是，骨川哆啦A夢,第4卷第9話
357,乘坐吸塵器去兜風吧,第18卷第9話
358,釣到了禿頭海怪！,第31卷第2話
359,房子變成機器人了,第17卷第13話
360,脫皮的故事,第14卷第2話
361,小珠和哆啦美是戀人！？,動畫原創
362,歡迎來到妖怪旅館！,動畫原創
363,大雄的生日冒險記,動畫原創
364,大家來換身,第11卷第15話
365,游泳粉,第12卷第12話
366,骷髏島的寶藏,動畫原創
367,變身、變身、再變身,第34卷第13話
368,大冰山上的小屋,第18卷第6話
369,決戰！ 貓型機器人vs犬型機器人,動畫原創
370,坐ワ字飛上天,第34卷第1話
371,變身！吸血鬼套裝,第21卷第10話
372,實物3D電視,動畫原創
373,那一天，全部都變成老鼠了！,動畫原創
374,迷宮點心樂園,動畫原創
375,小狗阿一的國度 羈絆篇,第22卷第16話
376,小狗阿一的國度 希望篇,第22卷第16話
377,和靜香去泡溫泉吧,動畫原創
378,哆啦A夢也想有個媽媽,動畫原創
379,在翻花繩世界裡稱王,第15卷第18話
380,恐怖的小珠咖喱,動畫原創
381,用提前推遲器來拖延,第43卷第3話
382,大雄的蘿蔔大決戰,第21卷第2話
383,聖誕夜的小偷聖誕老人,動畫原創
,哆啦美劇場 ～塔中的公主～,動畫原創
2006年劇場版,大雄的恐龍2006,大長篇第1篇大長篇第27篇第10卷第21話
384,飛上天！野比家的被爐,動畫原創
385,大雄的寵物是只紙做的狗！？,P2卷第20話
386,大雄的家在雪山上,第19卷第18話
387,胖虎家的大改造,動畫原創
388,會變成大雄的標籤,P1卷第4話
389,全是哆啦A夢,第5卷第7話
390,鏡子中的世界,第33卷第7話
2010年劇場版,大雄的人魚大海戰,大長篇第26篇
391,離家出走出白堊紀,動畫原創
392,四方形的哆啦A夢,動畫原創
393,給孩子王投一票吧！,動畫原創
394,永遠的機器人，保羅,動畫原創
395,大雄的結婚前夜,第25卷第15話
396,大雄混亂的入學典禮,動畫原創
397,樵夫之泉,第36卷第18話
398,變身餅乾,第1卷第3話
399,歡迎光臨野比酒店！,動畫原創
400,不能說違心的話！,第39卷第8話
401,我才不要這樣的靜香！,動畫原創
402,失物釣魚池,第32卷第3話
403,感恩機,第19卷第12話
404,討厭的格列佛,第36卷第3話
405,傳說中的大雄,動畫原創
406,海獺大雄的大冒險,動畫原創
407,願望之星,第10卷第18話
408,異性緣大作戰,動畫原創
409,新歌發表！胖虎很棒？,動畫原創
410,靜香的滑稽演奏？,動畫原創
411,阻止我的大雄,P1卷第3話
412,奶奶的回憶,第4卷第18話
413,七夕的夜空掉下來了,動畫原創
414,野比家的巨大金槍魚,動畫原創
415,四次元的百寶袋有備件,第25卷第3話
416,乘雲駕霧去上學,C4卷第18話
417,夜行列車是我家,第25卷第12話
418,超能戒指,C5卷第12話
419,解決！出木衫事件,第30卷第6話
420,大雄變成幽靈,P4卷第16話
421,水窪裡的巨大舌魚,第34卷第17話
422,胖虎電池無限大,第42卷第16話
423,可愛的石頭的故事,第37卷第11話
424,胖虎上電視了！,第30卷第9話
425,盛夏的故事徽章,動畫原創
426,謊言成真,第4卷第2話
427,獻上我的一切,動畫原創
428,哆啦A夢的一日之戀,動畫原創
429,跑起來哆啦A夢！銀河大獎賽,動畫原創
430,得到你的優點,動畫原創
431,不能違背大雄國王,動畫原創
432,跑吧！馬竹,第1卷第16話
433,月光與蟲鳴,第4卷第6話
434,沒有魔神的神燈,C3卷第13話
435,大雄的忍者修行,第28卷第8話
436,顧名思義貝類組合,P5卷第8話
437,最棒！最差的招待,動畫原創
438,超級移動浴池,動畫原創
439,大雄成為社長,動畫原創
440,機械化機,第29卷第2話
